pm_task_id	equipment_id	equipment_name	task_description	frequency	estimated_duration_hrs	assigned_to	last_completed	next_due	parts_required	lubricant_required	loto_required	safety_notes	reference_procedure	status
PM-AL3-001	AL3-CONV-001	Main Assembly Conveyor Line 3	Inspect belt for tears, tracking, and wear. Measure belt tension at tail pulley (target 80-110 lbs). Record in Form QC-104.	Daily	0.25	Line Operator	2025-03-19	2025-03-20	None	None	No	Inspect while conveyor is running at idle speed only. Do not touch belt while in motion.	SOP-001 Section 2	Scheduled
PM-AL3-002	AL3-CONV-001	Main Assembly Conveyor Line 3	Lubricate all 12 conveyor bearing points with Mobilux EP2 grease. Apply 3-5 pumps per fitting. Wipe excess grease.	Daily	0.50	Line Operator	2025-03-19	2025-03-20	None	Mobilux EP2 Grease — Rack B-12	No	Wear cut-resistant gloves. Do not lubricate while conveyor is running.	SOP-001 Section 2.3	Scheduled
PM-AL3-003	AL3-CONV-001	Main Assembly Conveyor Line 3	Inspect drive motor coupling for wear and alignment. Check frame bolts for tightness. Clean belt surface with MNT-CLN-001.	Weekly	1.00	Maintenance Tech	2025-03-15	2025-03-22	None	None	Yes	Full LOTO required on MCP-AL3 breaker CB-14. See SOP-002.	SOP-002	Scheduled
PM-AL3-004	AL3-CONV-001	Main Assembly Conveyor Line 3	Full belt replacement — measure belt wear, replace if > 20% wear from nominal thickness. Recalibrate speed sensor after replacement.	Annual	8.00	Maintenance Tech (Senior)	2024-09-01	2025-09-01	HYT-BELT-610-42; HYT-BRG-6205 x4	Mobilux EP2 Grease	Yes	Full LOTO required. Isolate electrical and pneumatic energy sources per SOP-002. Minimum 2 technicians required.	SOP-002; WI-014	Scheduled
PM-AL3-005	AL3-PRESS-002	Hydraulic Press Station 5	Check hydraulic fluid level — maintain between MIN and MAX sight glass marks. Inspect for external leaks around seals, fittings, and hoses.	Daily	0.25	Line Operator	2025-03-19	2025-03-20	None	None	No	Wear safety glasses and nitrile gloves. Do not add fluid if system is under pressure.	SOP-005 Section 3.1	Scheduled
PM-AL3-006	AL3-PRESS-002	Hydraulic Press Station 5	Inspect hydraulic hoses and fittings for cracks, abrasion, and loose connections. Check pump coupling for wear.	Weekly	0.75	Maintenance Tech	2025-03-15	2025-03-22	None	None	Yes	Full LOTO required. After electrical lockout, cycle controls 5 times to bleed hydraulic pressure. Verify accumulator gauge reads 0 PSI.	SOP-002; SOP-005	Scheduled
PM-AL3-007	AL3-PRESS-002	Hydraulic Press Station 5	Take hydraulic fluid sample for contamination analysis. Submit to lab (Form MNT-301). Check and adjust ram parallelism — max 0.05mm deviation.	Monthly	2.00	Maintenance Tech	2025-03-01	2025-04-01	ISO-VG46-20L (standby)	None	Yes	Full LOTO. Bleed hydraulic system before removing any fittings. Wear face shield when taking fluid sample — fluid under pressure risk.	SOP-002; SOP-005 Section 5	Scheduled
PM-AL3-008	AL3-PRESS-002	Hydraulic Press Station 5	Full hydraulic fluid change. Overhaul pump seals. Calibrate tonnage monitoring system. Third-party ASME compliance inspection.	Annual	16.00	Maintenance Tech (Certified) + Contractor	2024-03-15	2025-03-15	GRP-SEAL-KIT-HPM100; ISO-VG46-20L x3	None	Yes	Full LOTO. Contractor must sign in and obtain visitor safety briefing. Minimum 2 technicians. Used fluid must be disposed per environmental SOP-EHS-007.	SOP-002; SOP-EHS-007	OVERDUE — Schedule Immediately
PM-AL3-009	AL3-WELD-003	Robotic Welding Cell Station 9	Inspect wire spool — replace if < 1 kg remaining. Check gas cylinder pressure — replace if < 500 PSI. Clean torch nozzle of spatter. Verify robot home position.	Daily	0.33	Welding Operator	2025-03-19	2025-03-20	LNE-CONTACT-TIP-09 (as needed)	None	No	Always confirm robot is in HOME position before entering cell. Check cell door interlock is functioning. Use anti-spatter spray — do not use bare hands.	SOP-009 Section 2	Scheduled
PM-AL3-010	AL3-WELD-003	Robotic Welding Cell Station 9	Inspect all 6 robot axis joints for unusual noise or resistance. Clean controller cabinet air filters. Check torch conduit for kinks.	Weekly	1.50	Maintenance Tech	2025-03-15	2025-03-22	None	None	Yes	Full LOTO on cell panel CSP-09 before entering robot work envelope. Disable teach pendant enable switch.	SOP-002; FANUC Arc Mate Manual	Scheduled
PM-AL3-011	AL3-WELD-003	Robotic Welding Cell Station 9	Lubricate all axis joints per FANUC grease schedule (see robot manual Appendix B). Calibrate TCP (tool center point). Run diagnostic program DIAG_AL3_09.	Monthly	3.00	Maintenance Tech (Robot Certified)	2025-03-01	2025-04-01	FANUC grease kit	FANUC Grease A (axes 1-3); FANUC Grease B (axes 4-6)	Yes	Full LOTO required. Only FANUC-certified technicians may perform joint lubrication. Use only manufacturer-specified greases — mixing greases damages seals.	SOP-002; FANUC Arc Mate 100iD Maintenance Manual	Scheduled
PM-AL3-012	AL3-WELD-003	Robotic Welding Cell Station 9	Replace controller memory batteries (3x AA). Inspect arm cable harness full length. FANUC-certified service inspection.	Annual	8.00	FANUC Service Technician	2024-06-10	2025-06-10	AA Batteries x3; LNE-TORCH-LINER-15	None	Yes	Schedule with FANUC service team minimum 4 weeks in advance. Ensure memory backup is performed before battery replacement. Full LOTO required.	SOP-002; FANUC Service Manual	Scheduled
PM-AL3-013	AL3-CONV-001	Main Assembly Conveyor Line 3	Calibrate conveyor speed sensor — target accuracy ±0.2 mpm. Replace tail pulley bearings if bearing noise is detected.	Monthly	1.50	Maintenance Tech	2025-03-01	2025-04-01	HYT-BRG-6205 (standby)	Mobilux EP2 Grease	Yes	Full LOTO on MCP-AL3 breaker CB-14. Use calibrated tachometer for speed verification.	SOP-002; WI-014	Scheduled
PM-AL3-014	AL3-PRESS-002	Hydraulic Press Station 5	Clean die area — remove all metal chips, dust, and debris. Inspect die set guide pins and bushings. Lubricate die set per die card.	Weekly	0.50	Line Operator / Die Setter	2025-03-15	2025-03-22	None	Die lubricant per die card specification	Yes	Full LOTO before die access. Tooling is heavy — use die cart and mechanical lift assist. Wear cut-resistant gloves.	SOP-002; WI-022	Scheduled
PM-AL3-015	AL3-WELD-003	Robotic Welding Cell Station 9	Inspect and tighten all ground connections on robot, positioner, and power source. Check torch cable for outer jacket wear.	Monthly	1.00	Maintenance Tech	2025-03-01	2025-04-01	LNE-TORCH-LINER-15 (standby)	None	Yes	Full LOTO. Poor ground connections cause weld quality issues and can create shock hazard. Use torque wrench on ground lugs — 15 Nm.	SOP-002; Lincoln Electric PowerWave Manual	Scheduled
